,title,company,expirence,salary,location,skill,date
3452,Senior Analyst - Data Science - IIT/ NIT/ IIM/ Xlri/ FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon,"['IT Skills', 'Python', 'Machine Learning', 'Tableau', 'Data Science', 'SAS', 'Tableau', 'Machine Learning']",2 DAYS AGO
3453,Senior Analyst / Assistant Manager Data Science,Latent view,3-8 Yrs,Not disclosed,Chennai,"['Text mining', 'Analyst', 'data science', 'Business analysis', 'Machine learning', 'QlikView', 'Data mining', 'Analytics']",2 DAYS AGO
3454,Data Science Internship,Data Trained Education,0-1 Yrs,Not disclosed,"Ghaziabad, Delhi NCR, Noida","['Data Science', 'Machine Learning', 'Deep Learning', 'Predictive Modeling', 'NLP', 'Classification', 'Hadoop', 'Tableau']",12 DAYS AGO
3455,"Computer Science Faculty For B.Tech (AI, ML, IoT, Data Science)",Vision Group of Institutions,0-5 Yrs,"1,25,000 - 1,50,000 PA.","Aligarh, Kanpur","['Java', 'software', 'Artificial Intelligence', 'Programming', 'topper', 'Machine Learning', 'computer sciene & engineering', 'IOT']",13 DAYS AGO
3456,Data Analyst - Data Science,DataToBiz,3-7 Yrs,Not disclosed,Chandigarh,"['IT Skills', 'Python', 'Cloud', 'Oracle', 'AWS', 'Tableau', 'Power BI', 'DataLake']",5 DAYS AGO
3457,Data Analyst - Data Science,DataToBiz,3-7 Yrs,Not disclosed,Chandigarh,"['IT Skills', 'Python', 'Cloud', 'Oracle', 'AWS', 'Tableau', 'Power BI', 'DataLake']",5 DAYS AGO
3458,Data Science ( Python & Statistical Modelling ),JoulestoWatts Business Solutions Pvt Ltd,5-10 Yrs,Not disclosed,"Chennai, Pune, Bengaluru, Hyderabad, Gurgaon","['Data Science', 'Predictive Modeling', 'ANCOVA', 'ANOVA', 'Natural Language Processing', 'Statistical Modeling', 'machine learning', 'SQL']",8 DAYS AGO
3459,Data Science opening at Happiest Minds,Happiest Minds Technologies Limited,8-12 Yrs,Not disclosed,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata","['IT Skills', 'Java', 'Python', 'Data Science', 'Machine Learning', 'Big Data', 'Data Science', 'Natural Language Processing']",12 DAYS AGO
3460,"Manager/Lead - IT - Machine Learning, Python, Data Science",Bajaj Finance Limited,3-8 Yrs,Not disclosed,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata","['Data Science', 'Machine Learning', 'Python', 'Communication Skills', 'Design Development', 'Requirement Gathering', 'Data Analysis', 'Verbal Communication']",14 DAYS AGO
3461,Data Science/Analysis Expert - Machine Learning,Catalyst,2-6 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Tableau', 'Regression Algorithms', 'NLP', 'Data Scientist']",8 DAYS AGO
3462,Part Time Academic Writer For Econometric/Data Science/Statistics,Paperpedia private limited,0-5 Yrs,Not disclosed,"Chennai, Delhi NCR(Sector-16 Noida), Bengaluru, Hyderabad, Noida, Kolkata","['STATA', 'SPSS', 'Econometrics', 'Big Data Analytics', 'Eviews', 'Research', 'Statistics', 'Data Science']",8 DAYS AGO
3463,Part Time Academic Writer For Econometric/Data Science/Statistics,Paperpedia private limited,0-5 Yrs,Not disclosed,"Chennai, Delhi NCR(Sector-16 Noida), Bengaluru, Hyderabad, Noida, Kolkata","['STATA', 'SPSS', 'Econometrics', 'Big Data Analytics', 'Eviews', 'Research', 'Statistics', 'Data Science']",14 DAYS AGO
3464,"Specialist, Data Science",Invesco (India) Pvt Ltd,3-8 Yrs,Not disclosed,Hyderabad,"['Data Science', 'R', 'Power Bi', 'Analytical Skills', 'Data Analysis', 'Advanced Excel', 'Third Party', 'Powerpoint']",2 DAYS AGO
3465,"Trainee - Data Science, Artificial Intelligence & Data Analytics",MagicBase Royal BD Pvt Ltd,0-2 Yrs,"80,000 - 1,25,000 PA.",Bengaluru(Whitefield),"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Data Science', 'Artificial Intelligence', 'Data Analytics']",
3466,Senior Analyst- Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Data Science', 'Machine Learning', 'Artificial Intelligence', 'Project Management', 'BPO', 'project management', 'Analyst- Data Science']",
3467,"Senior Analyst, Data Science",Varite,3-6 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Power BI', 'Azure', 'Analyst', 'Excel', 'data science', 'Agile', 'power bi']",4 DAYS AGO
3468,Data Science/ Scientist - Python/ Deep Learning,New Era India,7-12 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Java', 'Python', 'Cloud', 'AWS', 'Data Science', 'Java', 'C++']",2 DAYS AGO
3469,Artificial Intelligence/Machine learning/Data Science,Spectrum Consultants India Pvt Ltd.,8-13 Yrs,Not disclosed,Bengaluru,"['Computer science', 'Electrical engineering', 'deep learning', 'Literature', 'data science', 'Artificial Intelligence', 'Machine learning', 'Silicon']",11 DAYS AGO
3470,Senior Software Developer - NLP / Machine Learning /Data Science,Cunesoft,5-8 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Java', 'Python', 'Cloud', 'Project Management', 'Product Management', 'Azure', 'BPO']",12 DAYS AGO
3471,Software Developer - NLP/ Data Science/ Machine Learning,Cunesoft,3-8 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Java', 'Python', 'Cloud', 'Project Management', 'Product Management', 'Azure', 'BPO']",12 DAYS AGO
3472,"Internship in Data Science, AI and Machine Learning - Online",www.iibmindia.in,0-5 Yrs,Not disclosed,"Mumbai, Bengaluru, Hyderabad","['IT Skills', 'Data Science', 'Data Science', 'fresher', 'any graduate', 'Online', 'Internship', 'work from home']",6 DAYS AGO
3473,Senior Analyst - Data Science - IIT/ NIT/ IIM/ Xlri/ FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon,"['IT Skills', 'Python', 'Machine Learning', 'Tableau', 'Data Science', 'SAS', 'Tableau', 'Machine Learning']",2 DAYS AGO
3474,Senior Analyst / Assistant Manager Data Science,Latent view,3-8 Yrs,Not disclosed,Chennai,"['Text mining', 'Analyst', 'data science', 'Business analysis', 'Machine learning', 'QlikView', 'Data mining', 'Analytics']",2 DAYS AGO
3475,Data Science Internship,Data Trained Education,0-1 Yrs,Not disclosed,"Ghaziabad, Delhi NCR, Noida","['Data Science', 'Machine Learning', 'Deep Learning', 'Predictive Modeling', 'NLP', 'Classification', 'Hadoop', 'Tableau']",12 DAYS AGO
3476,"Computer Science Faculty For B.Tech (AI, ML, IoT, Data Science)",Vision Group of Institutions,0-5 Yrs,"1,25,000 - 1,50,000 PA.","Aligarh, Kanpur","['Java', 'software', 'Artificial Intelligence', 'Programming', 'topper', 'Machine Learning', 'computer sciene & engineering', 'IOT']",13 DAYS AGO
3477,Data Analyst - Data Science,DataToBiz,3-7 Yrs,Not disclosed,Chandigarh,"['IT Skills', 'Python', 'Cloud', 'Oracle', 'AWS', 'Tableau', 'Power BI', 'DataLake']",5 DAYS AGO
3478,Data Analyst - Data Science,DataToBiz,3-7 Yrs,Not disclosed,Chandigarh,"['IT Skills', 'Python', 'Cloud', 'Oracle', 'AWS', 'Tableau', 'Power BI', 'DataLake']",5 DAYS AGO
3479,Data Science ( Python & Statistical Modelling ),JoulestoWatts Business Solutions Pvt Ltd,5-10 Yrs,Not disclosed,"Chennai, Pune, Bengaluru, Hyderabad, Gurgaon","['Data Science', 'Predictive Modeling', 'ANCOVA', 'ANOVA', 'Natural Language Processing', 'Statistical Modeling', 'machine learning', 'SQL']",8 DAYS AGO
3480,"Manager/Lead - IT - Machine Learning, Python, Data Science",Bajaj Finance Limited,3-8 Yrs,Not disclosed,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata","['Data Science', 'Machine Learning', 'Python', 'Communication Skills', 'Design Development', 'Requirement Gathering', 'Data Analysis', 'Verbal Communication']",14 DAYS AGO
3481,Data Science/Analysis Expert - Machine Learning,Catalyst,2-6 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Tableau', 'Regression Algorithms', 'NLP', 'Data Scientist']",8 DAYS AGO
3482,Part Time Academic Writer For Econometric/Data Science/Statistics,Paperpedia private limited,0-5 Yrs,Not disclosed,"Chennai, Delhi NCR(Sector-16 Noida), Bengaluru, Hyderabad, Noida, Kolkata","['STATA', 'SPSS', 'Econometrics', 'Big Data Analytics', 'Eviews', 'Research', 'Statistics', 'Data Science']",8 DAYS AGO
3483,Part Time Academic Writer For Econometric/Data Science/Statistics,Paperpedia private limited,0-5 Yrs,Not disclosed,"Chennai, Delhi NCR(Sector-16 Noida), Bengaluru, Hyderabad, Noida, Kolkata","['STATA', 'SPSS', 'Econometrics', 'Big Data Analytics', 'Eviews', 'Research', 'Statistics', 'Data Science']",14 DAYS AGO
3484,"Specialist, Data Science",Invesco (India) Pvt Ltd,3-8 Yrs,Not disclosed,Hyderabad,"['Data Science', 'R', 'Power Bi', 'Analytical Skills', 'Data Analysis', 'Advanced Excel', 'Third Party', 'Powerpoint']",2 DAYS AGO
3485,"Trainee - Data Science, Artificial Intelligence & Data Analytics",MagicBase Royal BD Pvt Ltd,0-2 Yrs,"80,000 - 1,25,000 PA.",Bengaluru(Whitefield),"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Data Science', 'Artificial Intelligence', 'Data Analytics']",
3486,Senior Analyst- Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Data Science', 'Machine Learning', 'Artificial Intelligence', 'Project Management', 'BPO', 'project management', 'Analyst- Data Science']",
3487,"Senior Analyst, Data Science",Varite,3-6 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Power BI', 'Azure', 'Analyst', 'Excel', 'data science', 'Agile', 'power bi']",4 DAYS AGO
3488,Artificial Intelligence/Machine learning/Data Science,Spectrum Consultants India Pvt Ltd.,8-13 Yrs,Not disclosed,Bengaluru,"['Computer science', 'Electrical engineering', 'deep learning', 'Literature', 'data science', 'Artificial Intelligence', 'Machine learning', 'Silicon']",11 DAYS AGO
3489,"Internship in Data Science, AI and Machine Learning - Online",www.iibmindia.in,0-5 Yrs,Not disclosed,"Mumbai, Bengaluru, Hyderabad","['IT Skills', 'Data Science', 'Data Science', 'fresher', 'any graduate', 'Online', 'Internship', 'work from home']",6 DAYS AGO
3490,Senior Analyst / Assistant Manager Data Science,Latent view,3-8 Yrs,Not disclosed,Chennai,"['Text mining', 'Analyst', 'data science', 'Business analysis', 'Machine learning', 'QlikView', 'Data mining', 'Analytics']",2 DAYS AGO
3491,Data Science Internship,Data Trained Education,0-1 Yrs,Not disclosed,"Ghaziabad, Delhi NCR, Noida","['Data Science', 'Machine Learning', 'Deep Learning', 'Predictive Modeling', 'NLP', 'Classification', 'Hadoop', 'Tableau']",12 DAYS AGO
3492,"Computer Science Faculty For B.Tech (AI, ML, IoT, Data Science)",Vision Group of Institutions,0-5 Yrs,"1,25,000 - 1,50,000 PA.","Aligarh, Kanpur","['Java', 'software', 'Artificial Intelligence', 'Programming', 'topper', 'Machine Learning', 'computer sciene & engineering', 'IOT']",13 DAYS AGO
3493,Data Analyst - Data Science,DataToBiz,3-7 Yrs,Not disclosed,Chandigarh,"['IT Skills', 'Python', 'Cloud', 'Oracle', 'AWS', 'Tableau', 'Power BI', 'DataLake']",5 DAYS AGO
3494,Data Analyst - Data Science,DataToBiz,3-7 Yrs,Not disclosed,Chandigarh,"['IT Skills', 'Python', 'Cloud', 'Oracle', 'AWS', 'Tableau', 'Power BI', 'DataLake']",5 DAYS AGO
3495,Data Science ( Python & Statistical Modelling ),JoulestoWatts Business Solutions Pvt Ltd,5-10 Yrs,Not disclosed,"Chennai, Pune, Bengaluru, Hyderabad, Gurgaon","['Data Science', 'Predictive Modeling', 'ANCOVA', 'ANOVA', 'Natural Language Processing', 'Statistical Modeling', 'machine learning', 'SQL']",8 DAYS AGO
3496,Data Science opening at Happiest Minds,Happiest Minds Technologies Limited,8-12 Yrs,Not disclosed,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata","['IT Skills', 'Java', 'Python', 'Data Science', 'Machine Learning', 'Big Data', 'Data Science', 'Natural Language Processing']",12 DAYS AGO
3497,Python Developer - ADF Data Science - Chennai,ADF Data Science Private Limited,2-7 Yrs,Not disclosed,Chennai,"['Data Science', 'Python']",2 DAYS AGO
